City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Amazar,53.858,120.875,-4.56,97,100,1.23,RU,1680959565
82,Coracora,-15.0333,-73.7833,12.25,63,10,0.26,PE,1680959565
83,Komsomolskiy,40.4272,71.7189,20.4,37,75,3.09,UZ,1680959565
84,Bathsheba,13.2167,-59.5167,28.34,69,20,9.26,BB,1680959565
85,Cherskiy,68.75,161.3,-28.02,100,66,0.71,RU,1680959565
86,Beeville,28.4008,-97.7483,13.49,94,100,2.06,US,1680959362
87,Vallenar,-28.5708,-70.7581,19.94,65,0,1.25,CL,1680959566
88,Pevek,69.7008,170.3133,-30.16,100,97,2.24,RU,1680959566
89,Pangkalanbuun,-2.6833,111.6167,24.54,91,100,1.45,ID,1680959566
90,Bluff,-46.6,168.3333,10.08,82,100,0.65,NZ,1680959566
91,Kruisfontein,-34.0033,24.7314,19.38,93,100,6.7,ZA,1680959566
92,Koslan,63.4564,48.8989,1.71,99,86,3.47,RU,1680959566
93,Sukpak,51.6667,94.6333,5.25,74,100,1.67,RU,1680959566
94,Chapais,49.7834,-74.8492,-10.12,85,100,3.22,CA,1680959567
95,Sao Paulo De Olivenca,-3.3783,-68.8725,22.57,99,100,1.41,BR,1680959476
96,Najran,17.4924,44.1277,27.45,28,51,5.98,SA,1680959567
97,Conakry,9.538,-13.6773,27.26,62,20,5.14,GN,1680959447
98,Jamshedpur,22.8,86.1833,34.99,14,39,0.72,IN,1680959567
99,Qaanaaq,77.484,-69.3632,-25.47,70,0,1.96,GL,1680959567
100,Dikson,73.5069,80.5464,-28.51,94,11,1.65,RU,1680959567
101,Sorong,-0.8833,131.25,27.94,76,100,4.14,ID,1680959568
102,Lamu,-2.2717,40.902,33.12,63,12,5.55,KE,1680959568
103,Kiama,-34.6833,150.8667,18.54,59,4,4.47,AU,1680959568
104,Yarkovo,57.4028,67.0786,4.81,41,8,3.93,RU,1680959568
105,Butaritari,3.0707,172.7902,27.15,83,35,7.2,KI,1680959569
106,Zhigansk,66.7697,123.3711,-27.26,93,17,1.86,RU,1680959569
107,Srednekolymsk,67.45,153.6833,-21.51,100,97,2.44,RU,1680959569
108,Vila Franca Do Campo,37.7167,-25.4333,15.23,54,63,2.75,PT,1680959569
109,Lewiston,44.1003,-70.2148,2.46,37,0,6.17,US,1680959569
110,Talnakh,69.4865,88.3972,-27.11,96,41,1.22,RU,1680959569
111,Hengshui,37.7322,115.7011,13.71,42,1,4.26,CN,1680959569
112,Kondinskoye,59.6481,67.41,2.9,77,81,5.9,RU,1680959570
